week_id,sales1_name,sales2_name,factor
22,WIM,WIM - Non-retirement,1
23,WIM,WIM - Non-retirement,1
24,WIM,WIM - Non-retirement,1
25,WIM,WIM - Non-retirement,1
26,WIM,WIM - Non-retirement,1
27,WIM,WIM - Non-retirement,1
28,WIM,WIM - Non-retirement,1
29,WIM,WIM - Non-retirement,1
30,WIM,WIM - Non-retirement,1
31,WIM,WIM - Non-retirement,1
32,WIM,WIM - Non-retirement,1
33,WIM,WIM - Non-retirement,1
34,WIM,WIM - Non-retirement,1
35,WIM,WIM - Non-retirement,1
36,WIM,WIM - Non-retirement,1
37,WIM,WIM - Non-retirement,1
38,WIM,WIM - Non-retirement,1
39,WIM,WIM - Non-retirement,1
40,WIM,WIM - Non-retirement,1
41,WIM,WIM - Non-retirement,1
42,WIM,WIM - Non-retirement,1
43,WIM,WIM - Non-retirement,1
44,WIM,WIM - Non-retirement,1
45,WIM,WIM - Non-retirement,1
46,WIM,WIM - Non-retirement,1
47,WIM,WIM - Non-retirement,1
48,WIM,WIM - Non-retirement,1
49,WIM,WIM - Non-retirement,1
50,WIM,WIM - Non-retirement,1
51,WIM,WIM - Non-retirement,1
52,WIM,WIM - Non-retirement,1
1,WIM,WIM - Retirement,1
2,WIM,WIM - Retirement,1
3,WIM,WIM - Retirement,1
4,WIM,WIM - Retirement,1
5,WIM,WIM - Retirement,1
6,WIM,WIM - Retirement,1
7,WIM,WIM - Retirement,1
8,WIM,WIM - Retirement,1
9,WIM,WIM - Retirement,1
10,WIM,WIM - Retirement,1
11,WIM,WIM - Retirement,1
12,WIM,WIM - Retirement,1
13,WIM,WIM - Retirement,1
14,WIM,WIM - Retirement,1
15,WIM,WIM - Retirement,1
16,WIM,WIM - Retirement,1
17,WIM,WIM - Retirement,1
18,WIM,WIM - Retirement,1
19,WIM,WIM - Retirement,1
20,WIM,WIM - Retirement,1
21,WIM,WIM - Retirement,1
22,WIM,WIM - Retirement,1
23,WIM,WIM - Retirement,1
24,WIM,WIM - Retirement,1
25,WIM,WIM - Retirement,1
26,WIM,WIM - Retirement,1
27,WIM,WIM - Retirement,1
28,WIM,WIM - Retirement,1
29,WIM,WIM - Retirement,1
30,WIM,WIM - Retirement,1
31,WIM,WIM - Retirement,1
32,WIM,WIM - Retirement,1
33,WIM,WIM - Retirement,1
34,WIM,WIM - Retirement,1
35,WIM,WIM - Retirement,1
36,WIM,WIM - Retirement,1
37,WIM,WIM - Retirement,1
38,WIM,WIM - Retirement,1
39,WIM,WIM - Retirement,1
40,WIM,WIM - Retirement,1
41,WIM,WIM - Retirement,1
42,WIM,WIM - Retirement,1
43,WIM,WIM - Retirement,1
44,WIM,WIM - Retirement,1
45,WIM,WIM - Retirement,1
46,WIM,WIM - Retirement,1
47,WIM,WIM - Retirement,1
48,WIM,WIM - Retirement,1
49,WIM,WIM - Retirement,1
50,WIM,WIM - Retirement,1
51,WIM,WIM - Retirement,1
52,WIM,WIM - Retirement,1
1,Mortgage,Purchase Mortgage - New WF Customers,1
2,Mortgage,Purchase Mortgage - New WF Customers,1
3,Mortgage,Purchase Mortgage - New WF Customers,1
4,Mortgage,Purchase Mortgage - New WF Customers,1
5,Mortgage,Purchase Mortgage - New WF Customers,1
6,Mortgage,Purchase Mortgage - New WF Customers,1
7,Mortgage,Purchase Mortgage - New WF Customers,1
8,Mortgage,Purchase Mortgage - New WF Customers,1
9,Mortgage,Purchase Mortgage - New WF Customers,1
10,Mortgage,Purchase Mortgage - New WF Customers,1
11,Mortgage,Purchase Mortgage - New WF Customers,1
12,Mortgage,Purchase Mortgage - New WF Customers,1
13,Mortgage,Purchase Mortgage - New WF Customers,1
14,Mortgage,Purchase Mortgage - New WF Customers,1
15,Mortgage,Purchase Mortgage - New WF Customers,1
16,Mortgage,Purchase Mortgage - New WF Customers,1
17,Mortgage,Purchase Mortgage - New WF Customers,1
18,Mortgage,Purchase Mortgage - New WF Customers,1
19,Mortgage,Purchase Mortgage - New WF Customers,1
20,Mortgage,Purchase Mortgage - New WF Customers,1
