sales1_name,sales2_name,chan1_name,chan2_name,chan3_name,dma1_name,hl,hrf,max,cpp,wks,beta,curvegroup_name,factor_1,factor_2,factor_3
WIM,WIM - Retirement,Television,General Market,WBR Brokerage,National,2,0.3,102.66496,34679.69265,1,289.9185468,weekly,165,209,209
WIM,WIM - Retirement,Magazine,General Market,WBR Brokerage,National,1,0.3,500902.0432,1,1,131.761416,weekly,165,209,209
WIM,WIM - Retirement,Online Display,General Market,WBR Brokerage,National,0.6,0.45,95839740,0.001546646,1,36.2158769,weekly,165,209,209
WIM,WIM - Retirement,Paid Search,General Market,WBR Brokerage,National,0.01,0.45,33931,1.90462946,1,122.6869121,weekly,165,209,209
WIM,WIM - Retirement,Television,General Market,WBR Retirement,National,2,0.15,135.36,27596.55714,1,274.7477206,weekly,165,209,209
WIM,WIM - Retirement,Magazine,General Market,WBR Retirement,National,1,0.45,689443.1069,1,1,287.0741884,weekly,165,209,209
WIM,WIM - Retirement,Online Display,General Market,WBR Retirement,National,0.6,0.45,90653912,0.001785883,1,48.27916735,weekly,165,209,209
WIM,WIM - Retirement,Paid Search,General Market,WBR Retirement,National,0.01,0.45,15088,2.086705959,1,81.81059355,weekly,165,209,209
WIM,WIM - Retirement,Television,General Market,Brand,National,2,0.15,134.59,34785.33651,1,100.6333673,weekly,165,209,209
WIM,WIM - Retirement,Online Display,General Market,Brand,National,0.6,0.3,2442528.591,1,1,74.46105422,weekly,165,209,209
WIM,WIM - Retirement,Direct Mail Acq/Prosp,Direct Mail,WBR,National,4,0.3,2214090,0.56,1,389.3887218,weekly,165,209,209
Mortgage,Purchase Mortgage - New WF Customers,Radio,General Market,Mortgage,National,1,0.25,560378.429,1,1,96.83913847,weekly,1577,2042,2042
Mortgage,Purchase Mortgage - New WF Customers,Online Display,General Market,Mortgage,National,0.3,0.12,220164693,0.000777689,1,67.81517987,weekly,1577,2042,2042
Mortgage,Purchase Mortgage - New WF Customers,Paid Search,General Market,Mortgage,National,0.01,0.15,93239,1.863513196,1,100.6080089,weekly,1577,2042,2042
Mortgage,Purchase Mortgage - New WF Customers,Radio,General Market,Brand,National,1,0.15,700242.9861,1,1,49.84767042,weekly,1577,2042,2042
Mortgage,Purchase Mortgage - New WF Customers,Radio,General Market,Deposits,National,1,0.5,1179011.244,1,1,12.46108532,weekly,1577,2042,2042
Mortgage,Purchase Mortgage - New WF Customers,Direct Mail Acq/Prosp,Direct Mail,Purchase Mortgage,National,2,0.45,805817,0.56,1,160.4867863,weekly,1577,2042,2042
Mortgage,Purchase Mortgage - Existing WF Customers,Radio,General Market,Mortgage,National,1,0.25,560378.429,1,1,52.30543302,weekly,1597,2067,2067
Mortgage,Purchase Mortgage - Existing WF Customers,Online Display,General Market,Mortgage,National,0.3,0.12,220164693,0.000777689,1,63.57342978,weekly,1597,2067,2067
Mortgage,Purchase Mortgage - Existing WF Customers,Paid Search,General Market,Mortgage,National,0.01,0.15,93239,1.863513196,1,78.53958068,weekly,1597,2067,2067
Mortgage,Purchase Mortgage - Existing WF Customers,Radio,Diverse Segment,Mortgage,National,1,0.15,246149.424,1,1,41.69616178,weekly,1597,2067,2067
Mortgage,Purchase Mortgage - Existing WF Customers,Radio,General Market,Brand,National,1,0.15,700242.9861,1,1,66.82470972,weekly,1597,2067,2067
