sales1_name,sales2_name,chan1_name,chan2_name,chan3_name,dma1_name,var,beta,hl,hrf,max,cpp,apprate,ratio,m_1,m_2,m_3,m_4,m_5
Mortgage,Refi Mortgage - Existing WF Customers,Newspaper,Brand,General Market,National,tnp_brnd_spd,42.81808237,0.3,0.45,972597.78,1,0.25,1,0.471357301,645,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Online Banner,Deposits,General Market,National,odp_nv_dep_imp,183.8439741,0.01,0.3,374836881,0.004301019,1,1,0.471357301,645,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Online Display,Mortgage,General Market,National,odp_tl_mtg_spd,196.6418858,0.3,0.15,216734.588,1,0.23501625,1,0.471357301,645,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Outdoor,Deposits,General Market,National,toh_dpst_spd,172.5459292,1,0.3,1072149.405,1,1,1,0.471357301,645,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Paid Search,Mortgage,General Market,National,ops_mtg_tl_tl_spd,297.7091844,0.01,0.15,298979.16,1,0.471357301,1,0.471357301,645,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Radio,Brand,General Market,National,trd_brnd_spd,153.7288628,0.6,0.45,932153.265,1,0.3,1,0.471357301,645,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Radio,Deposits,General Market,National,trd_dpst_spd,1162.199562,0.3,0.3,1179011.244,1,0.471357301,1,0.471357301,645,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Radio,Mortgage,General Market,National,trd_mrtg_spd,279.0972415,0.6,0.15,560378.429,1,0.2942,1,0.471357301,645,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Television,Brand,General Market,National,ttv_brnd_trp,419.5946746,3,0.3,383.4,33818.11378,1,1,0.471357301,645,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Television,Deposits,General Market,National,ttv_dpst_trp,1371.157642,1,0.15,675.36,27396.33723,1,1,0.471357301,645,1448,1875,1875
Mortgage,Refi Mortgage - Existing WF Customers,Television,Mortgage,General Market,National,ttv_mrtg_trp,2738.755805,2,0.3,367.8,28375.57342,1,1,0.471357301,645,1448,1875,1875
Mortgage,Refi Mortgage - New WF Customers,Newspaper,Brand,Diverse Segment,National,tnp_ds_brnd_ecr,27.88333903,0.6,0.45,3530113,0.081350033,1,1,0.828671157,449,1007,1305,1305
Mortgage,Refi Mortgage - New WF Customers,Newspaper,Brand,General Market,National,tnp_brnd_spd,74.66995908,0.6,0.3,972597.78,1,0.25,1,0.828671157,449,1007,1305,1305
